time,s0,s1,s2,s3,s4,s5,s6,s7
44.8,0.0,0.0,4.0086236,0.0,0.0,0.0,0.26717617,1.0989809
44.82,0.0,0.0,10.894243,0.0,0.0,0.0,0.57541174,1.0996879
44.84,0.0,0.0,15.757082,0.0,0.0,0.0,0.79798311,1.0996879
44.86,0.0,0.0,13.667727,0.0,0.0,0.0,0.7004043,1.1005423
44.88,0.0,0.0,12.318739,0.0,0.0,0.0,0.63875593,1.1005423
44.9,0.0,0.0,14.101977,0.0,0.0,0.0,0.72062264,1.1001571
44.92,0.0,0.0,12.340455,0.0,0.0,0.0,0.63765965,1.1001571
44.94,0.0,0.0,4.0039992,0.0,0.0,0.0,0.25703762,1.0982126
44.96,0.0,0.0,7.877141,0.0,0.0,0.0,0.43196247,1.0982126
44.98,0.0,0.0,14.525658,0.0,0.0,0.0,0.74034686,1.0961573
45.0,0.0,0.0,16.808872,0.0,0.0,0.0,0.84743495,1.0961573
45.02,0.0,0.0,16.975527,0.0,0.0,0.0,0.85460592,1.0942968
45.04,0.0,0.0,15.157685,0.0,0.0,0.0,0.76881529,1.0942968
45.06,0.0,0.0,10.46253,0.0,0.0,0.0,0.55147948,1.091566
45.08,0.0,0.0,9.3664398,0.0,0.0,0.0,0.50067535,1.091566
45.1,0.0,0.0,11.672254,0.0,0.0,0.0,0.60530947,1.0891629
45.12,0.0,0.0,12.127986,0.0,0.0,0.0,0.62601279,1.0891629
45.14,0.0,0.0,13.061852,0.0,0.0,0.0,0.6694262,1.087284
45.16,0.0,0.0,10.959639,0.0,0.0,0.0,0.57161831,1.087284
45.18,0.0,0.0,11.472238,0.0,0.0,0.0,0.59531266,1.0862056
45.2,0.0,0.0,13.893802,0.0,0.0,0.0,0.70762688,1.0862056
45.22,0.0,0.0,15.040572,0.0,0.0,0.0,0.76043134,1.0852989
45.24,0.0,0.0,14.776362,0.0,0.0,0.0,0.74716764,1.0852989
45.26,0.0,0.0,15.89942,0.0,0.0,0.0,0.79890902,1.0883689
45.28,0.0,0.0,16.62425,0.0,0.0,0.0,0.83260996,1.0883689
45.3,0.0,0.0,16.528231,0.0,0.0,0.0,0.82781383,1.0919436
45.32,0.0,0.0,16.506031,0.0,0.0,0.0,0.82725116,1.0919436
45.34,0.0,0.0,15.723926,0.0,0.0,0.0,0.7908763,1.0957084
45.36,0.0,0.0,15.341065,0.0,0.0,0.0,0.77351561,1.0957084
45.38,0.0,0.0,15.359172,0.0,0.0,0.0,0.77433642,1.1007948
45.4,0.0,0.0,15.946025,0.0,0.0,0.0,0.80275973,1.1007948
45.42,0.0,0.0,15.274592,0.0,0.0,0.0,0.77219957,1.1034237
45.44,0.0,0.0,15.088519,0.0,0.0,0.0,0.76442618,1.1034237
45.46,0.0,0.0,15.058684,0.0,0.0,0.0,0.76447354,1.1021602
45.48,0.0,0.0,13.402136,0.0,0.0,0.0,0.68871175,1.1021602
45.5,0.0,0.0,9.4626284,0.0,0.0,0.0,0.50842506,1.0992622
45.52,0.0,0.0,2.1654663,0.0,0.0,0.0,0.17249042,1.0992622
45.54,0.0,0.0,-11.970037,0.0,0.0,0.0,-0.46857663,1.0950377
45.56,0.0,0.0,-7.6574011,0.0,0.0,0.0,-0.27872105,1.0950377
45.58,0.0,0.0,-25.49192,0.0,0.0,0.0,-1.0594885,1.0906458
45.6,0.0,0.0,-7.5012798,0.0,0.0,0.0,-0.25645186,1.0906458
45.62,0.0,0.0,10.273396,0.0,0.0,0.0,0.54786323,1.0880839
45.64,0.0,0.0,-5.8173671,0.0,0.0,0.0,-0.18743111,1.0880839
45.66,0.0,0.0,-10.935454,0.0,0.0,0.0,-0.41826963,1.0865184
45.68,0.0,0.0,4.4995809,0.0,0.0,0.0,0.28422881,1.0865184
45.7,0.0,0.0,14.176907,0.0,0.0,0.0,0.72963507,1.084911
45.72,0.0,0.0,15.384742,0.0,0.0,0.0,0.78565771,1.084911
45.74,0.0,0.0,17.648924,0.0,0.0,0.0,0.89038137,1.0833789
45.76,0.0,0.0,18.064108,0.0,0.0,0.0,0.90866713,1.0833789
45.78,0.0,0.0,13.028896,0.0,0.0,0.0,0.6739089,1.0833719
45.8,0.0,0.0,6.8177981,0.0,0.0,0.0,0.38942976,1.0833719
45.82,0.0,0.0,0.94352949,0.0,0.0,0.0,0.11153311,1.0857903
45.84,0.0,0.0,-20.074453,0.0,0.0,0.0,-0.8376165,1.0857903
45.86,0.0,0.0,-19.598709,0.0,0.0,0.0,-0.83155907,1.0901603
45.88,0.0,0.0,-6.5003066,0.0,0.0,0.0,-0.23658312,1.0901603
